Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
P05740	YKL180W	6.54E-05	5.39E-05	3.39E-05	2.78E-05	7.05E-05	6.32E-06	4.12E-06	3.65E-06	1.30E-06	2.19E-06
P05743	YLR344W	1.02E-05	1.13E-05	8.39E-06	5.88E-06	8.44E-06	4.01E-07	1.29E-06	1.14E-06	3.83E-07	3.07E-07
P05744	YPL143W	2.47E-06	2.18E-06	1.35E-06	1.17E-06	2.53E-06	1.30E-07	4.12E-08	1.36E-07	1.23E-07	2.52E-08
P05745	YMR194W	1.30E-06	1.31E-06	7.14E-07	6.42E-07	1.39E-06	9.65E-08	4.13E-08	2.10E-08	4.30E-08	6.29E-08
P05747	YFR032C-A	6.11E-06	5.40E-06	3.21E-06	2.72E-06	6.65E-06	2.02E-07	3.36E-07	1.53E-07	2.33E-07	5.71E-07
P05748	YLR029C	4.05E-05	3.64E-05	2.28E-05	1.96E-05	4.09E-05	4.17E-06	3.56E-06	2.18E-06	2.14E-06	1.61E-06
P05749	YLR061W	2.75E-05	2.32E-05	1.45E-05	1.35E-05	3.18E-05	1.49E-06	1.51E-06	6.22E-07	8.32E-07	1.26E-06
P05750	YNL178W	2.17E-05	2.00E-05	1.26E-05	1.04E-05	2.30E-05	1.10E-06	4.94E-07	3.99E-07	8.20E-07	5.74E-07
P05755	YBR189W	3.87E-05	3.54E-05	2.17E-05	1.87E-05	4.30E-05	1.33E-06	1.04E-06	1.94E-06	1.38E-06	8.63E-07
P05756	YDR064W	2.34E-05	2.17E-05	1.34E-05	1.19E-05	2.48E-05	8.79E-07	4.97E-07	5.15E-07	2.45E-07	8.67E-07
P05759	YLR167W	2.42E-05	2.16E-05	1.47E-05	1.17E-05	2.24E-05	3.29E-07	8.57E-07	1.99E-06	7.57E-07	1.95E-07
P06100	YDL165W	9.05E-07	8.97E-07	5.74E-07	4.99E-07	4.44E-07	4.02E-08	9.44E-08	2.35E-08	5.41E-08	1.89E-08
P06101	YDR168W	1.61E-06	1.32E-06	7.61E-07	6.60E-07	5.32E-07	2.92E-07	1.96E-08	2.89E-08	3.78E-08	2.11E-08
P06102	YIL038C	4.47E-07	3.91E-07	2.95E-07	2.32E-07	2.96E-07	2.11E-08	3.52E-08	1.08E-08	1.19E-08	9.74E-09
P06103	YOR361C	3.65E-06	3.30E-06	2.02E-06	1.74E-06	4.11E-06	1.57E-07	1.69E-07	4.90E-08	6.59E-08	8.81E-08
P06105	YJL080C	3.31E-06	3.89E-06	2.39E-06	2.01E-06	4.26E-06	3.61E-07	9.08E-08	1.97E-08	6.43E-08	9.76E-08
P06106	YLR303W	0.000148829	0.000107702	7.46E-05	6.41E-05	0.000108749	1.01E-05	8.09E-07	1.38E-06	3.10E-06	6.27E-06
P06115	YGR088W	4.94E-08	8.12E-08	3.31E-08	1.60E-08	NA	8.93E-09	1.58E-08	5.12E-10	3.42E-09	NA
P06168	YLR355C	8.07E-05	6.87E-05	3.51E-05	2.74E-05	5.65E-05	1.18E-05	2.51E-06	6.91E-07	1.15E-06	3.23E-06
P06169	YLR044C	6.54E-05	8.78E-05	8.30E-05	9.25E-05	5.65E-05	1.35E-05	1.79E-06	4.52E-06	5.59E-06	5.59E-06
P06174	YOR278W	1.46E-07	1.71E-07	9.57E-08	9.54E-08	4.77E-08	2.53E-08	2.51E-08	2.85E-08	5.77E-09	4.43E-08
P06182	YAL039C	1.15E-07	1.34E-07	1.03E-07	7.03E-08	1.27E-07	5.44E-08	2.37E-08	2.90E-09	1.19E-08	1.15E-08
P06197	YPR113W	4.48E-07	7.46E-07	6.46E-07	5.52E-07	4.18E-07	NA	5.32E-08	6.14E-08	7.93E-08	NA
P06245	YPL203W	2.81E-07	3.00E-07	2.10E-07	1.54E-07	9.86E-08	4.85E-09	4.93E-09	1.81E-08	3.44E-08	2.55E-09
P06633	YOR202W	1.61E-06	1.38E-06	8.25E-07	7.80E-07	1.01E-06	1.86E-08	5.00E-08	2.25E-08	6.61E-08	2.42E-08
P06634	YOR204W	7.49E-06	8.94E-06	6.16E-06	5.37E-06	1.06E-05	9.83E-07	5.22E-07	2.44E-07	3.53E-07	4.59E-07
P06700	YDL042C	NA	2.00E-08	1.40E-08	1.29E-08	1.17E-08	NA	NA	4.30E-09	1.23E-09	1.72E-09
P06701	YLR442C	1.91E-07	3.03E-07	2.22E-07	1.54E-07	1.03E-07	3.17E-08	5.07E-08	2.37E-08	1.86E-08	3.06E-09
P06738	YPR160W	1.65E-06	2.48E-06	2.01E-06	1.50E-06	8.19E-07	1.27E-07	7.97E-08	5.74E-08	1.55E-08	1.40E-07
P06776	YOR360C	NA	4.75E-08	3.98E-08	NA	NA	NA	NA	1.13E-09	NA	NA
P06779	YJR052W	3.69E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06780	YPR165W	9.86E-06	1.40E-05	1.05E-05	8.00E-06	2.99E-06	2.96E-07	2.31E-07	8.38E-07	3.21E-07	5.02E-07
P06781	YNL090W	7.53E-07	8.35E-07	NA	5.06E-07	NA	1.12E-07	NA	NA	8.12E-08	NA
P06782	YDR477W	5.18E-07	4.81E-07	3.28E-07	2.69E-07	5.59E-07	2.33E-08	1.33E-08	2.19E-08	2.17E-08	3.12E-08
P06785	YOR074C	8.10E-07	8.81E-07	6.26E-07	6.02E-07	7.92E-07	1.30E-07	1.14E-07	3.15E-08	7.13E-08	3.25E-08
P06786	YNL088W	1.00E-07	1.38E-07	8.95E-08	7.62E-08	9.01E-08	1.83E-09	3.24E-09	1.42E-09	5.06E-09	4.10E-09
P06787	YBR109C	6.30E-07	7.59E-07	4.91E-07	4.41E-07	3.35E-07	1.46E-08	5.12E-08	2.75E-08	2.09E-08	1.74E-08
P06839	YER171W	4.48E-08	7.88E-08	4.62E-08	3.62E-08	NA	2.86E-08	5.65E-09	2.01E-10	5.71E-10	NA
P07143	YOR065W	1.38E-06	1.56E-06	1.31E-06	8.91E-07	2.12E-06	2.41E-08	7.46E-08	1.86E-08	2.54E-08	1.81E-07
P07149	YKL182W	1.12E-05	1.45E-05	8.84E-06	6.71E-06	4.84E-06	1.28E-06	2.54E-07	3.69E-07	4.17E-07	8.03E-07
P07170	YDR226W	2.68E-05	1.58E-05	1.08E-05	9.12E-06	1.50E-05	1.62E-06	3.75E-07	2.71E-07	4.73E-07	9.41E-07
P07172	YIL116W	2.84E-06	3.57E-06	2.46E-06	2.35E-06	1.71E-06	7.88E-08	4.01E-08	7.07E-08	9.09E-08	9.44E-08
P07213	YNL121C	2.80E-06	2.26E-06	1.45E-06	1.19E-06	3.71E-06	1.29E-07	2.90E-08	1.75E-08	4.24E-08	1.35E-07
P07236	YKL194C	1.05E-07	1.15E-07	6.20E-08	4.86E-08	2.16E-07	1.25E-08	3.73E-08	1.06E-08	1.14E-09	3.86E-09
P07244	YGL234W	6.57E-06	6.67E-06	3.92E-06	3.48E-06	6.94E-06	1.02E-06	1.30E-08	1.35E-07	1.82E-07	1.36E-07
P07245	YGR204W	7.02E-06	5.99E-06	4.31E-06	3.95E-06	8.44E-06	9.13E-07	4.76E-08	1.05E-07	3.34E-07	2.54E-07
P07246	YMR083W	1.40E-05	1.26E-05	8.64E-06	7.20E-06	9.98E-06	2.80E-07	2.93E-07	1.51E-07	3.11E-07	5.66E-07
P07248	YDR216W	1.28E-08	1.44E-08	1.28E-08	8.28E-09	1.71E-08	NA	6.47E-10	1.05E-09	1.17E-09	NA
P07250	YDR173C	5.31E-08	3.31E-08	2.01E-08	NA	NA	8.85E-09	NA	NA	NA	NA
P07251	YBL099W	4.85E-05	4.08E-05	3.16E-05	2.20E-05	4.86E-05	2.99E-06	1.53E-06	6.72E-07	1.11E-06	4.35E-06
P07253	YBR120C	1.36E-06	9.55E-07	6.01E-07	4.87E-07	1.43E-06	1.65E-07	3.33E-08	1.16E-08	1.78E-08	5.76E-08
P07255	YDL067C	1.27E-05	1.25E-05	9.80E-06	7.07E-06	8.04E-06	6.73E-07	3.37E-07	1.29E-07	2.36E-07	4.75E-07
P07256	YBL045C	1.27E-05	1.03E-05	8.40E-06	5.55E-06	1.28E-05	6.87E-07	5.56E-07	6.97E-07	1.15E-07	1.27E-06
P07257	YPR191W	2.32E-05	1.86E-05	1.35E-05	9.73E-06	2.08E-05	1.03E-06	5.01E-07	4.17E-07	3.22E-07	1.77E-06
P07258	YOR303W	6.23E-07	4.66E-07	4.22E-07	4.36E-07	1.44E-06	1.29E-08	1.41E-08	9.79E-09	5.50E-09	2.11E-07
P07259	YJL130C	5.27E-06	7.79E-06	5.10E-06	4.49E-06	4.51E-06	7.63E-07	4.14E-08	7.74E-08	3.14E-07	3.71E-07
P07260	YOL139C	7.51E-06	8.01E-06	4.99E-06	4.34E-06	6.59E-06	3.67E-07	2.44E-07	2.06E-07	3.50E-07	1.34E-07
P07262	YOR375C	2.44E-05	8.40E-05	5.29E-05	4.00E-05	3.53E-05	4.72E-06	2.81E-06	2.26E-06	2.60E-06	1.76E-06
P07264	YGL009C	7.88E-06	7.18E-06	4.91E-06	3.92E-06	8.01E-06	4.58E-07	2.85E-07	1.66E-07	1.73E-07	6.08E-08
P07266	YIR021W	5.82E-08	4.41E-08	2.83E-08	1.75E-08	5.59E-08	3.94E-09	7.14E-09	2.74E-09	1.69E-09	4.99E-09
P07267	YPL154C	7.56E-06	1.47E-05	1.04E-05	9.54E-06	3.19E-06	4.71E-07	9.65E-07	3.78E-07	5.59E-07	3.23E-07
P07269	YDL106C	3.10E-07	2.77E-07	1.81E-07	1.94E-07	1.43E-07	3.83E-08	1.45E-08	2.21E-08	3.37E-09	2.07E-09
P07273	YGL043W	7.05E-07	8.02E-07	4.82E-07	4.30E-07	5.51E-07	1.53E-08	5.34E-08	1.06E-08	4.62E-08	1.50E-08
P07274	YOR122C	7.82E-06	7.22E-06	4.63E-06	3.77E-06	3.43E-06	3.30E-07	3.52E-07	1.14E-07	3.19E-07	2.29E-07
P07275	YHR037W	2.41E-06	5.73E-06	5.19E-06	4.51E-06	2.09E-06	9.96E-08	1.26E-07	4.43E-08	1.64E-07	1.75E-07
P07277	YMR208W	9.96E-07	1.16E-06	8.09E-07	6.56E-07	5.96E-07	1.17E-07	3.41E-08	3.31E-08	4.44E-08	5.44E-08
P07278	YIL033C	3.48E-06	2.93E-06	1.69E-06	1.52E-06	9.36E-07	1.35E-07	3.46E-08	2.34E-08	7.15E-08	9.65E-08
P07280	YOL121C	2.41E-07	2.65E-07	1.46E-07	1.22E-07	2.86E-07	3.70E-08	2.89E-08	5.78E-09	1.42E-08	3.04E-08
P07281	YNL302C	3.96E-05	3.64E-05	2.21E-05	1.84E-05	4.21E-05	1.26E-06	1.88E-06	9.26E-07	8.02E-07	1.41E-06
P07283	YFL045C	2.45E-06	3.24E-06	2.53E-06	2.31E-06	2.99E-06	2.88E-07	5.21E-08	4.71E-08	3.51E-07	5.72E-08
