Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
P40016	YER021W	2.07E-06	2.70E-06	1.77E-06	1.41E-06	1.08E-06	1.99E-07	5.56E-08	4.42E-08	7.82E-08	1.20E-07
P40017	YER024W	7.26E-07	1.89E-07	1.18E-06	NA	1.44E-07	8.46E-08	5.71E-10	NA	NA	1.93E-08
P40018	YER029C	3.59E-07	4.65E-07	2.86E-07	2.13E-07	2.07E-07	5.65E-08	3.07E-08	1.87E-08	4.28E-08	2.10E-08
P40019	YER030W	3.94E-07	4.27E-07	2.27E-07	1.90E-07	1.32E-07	4.52E-08	5.27E-08	7.17E-09	1.84E-08	1.80E-09
P40024	YER036C	6.10E-06	6.58E-06	4.03E-06	3.40E-06	4.46E-06	3.43E-08	1.63E-07	1.08E-07	1.20E-07	7.63E-08
P40029	YER042W	4.63E-06	5.27E-06	3.05E-06	2.82E-06	1.88E-06	1.14E-07	8.25E-08	5.12E-08	2.24E-07	6.56E-08
P40030	YER044C	3.11E-06	3.34E-06	2.03E-06	1.53E-06	NA	4.06E-07	NA	5.94E-07	9.92E-08	NA
P40032	YER049W	9.25E-07	9.24E-07	5.76E-07	5.59E-07	8.29E-07	1.97E-08	1.20E-08	1.63E-08	4.61E-08	3.46E-08
P40033	YER050C	3.29E-07	2.53E-07	1.56E-07	1.15E-07	4.48E-07	1.77E-08	3.23E-08	6.22E-09	1.54E-08	1.96E-08
P40035	YER053C	4.32E-07	4.73E-07	6.50E-07	4.20E-07	5.61E-07	1.28E-07	2.23E-08	3.30E-08	1.67E-08	5.24E-08
P40037	YER057C	1.06E-05	1.56E-05	9.96E-06	9.37E-06	5.05E-06	6.63E-07	1.08E-06	2.08E-07	8.30E-07	3.44E-07
P40038	YER059W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40040	YER063W	1.26E-06	1.85E-06	1.19E-06	1.10E-06	8.00E-07	1.43E-07	6.18E-08	4.69E-08	3.72E-08	5.56E-08
P40043	YER067W	2.80E-06	6.56E-07	2.80E-07	1.73E-07	1.11E-06	5.82E-07	3.99E-08	5.05E-08	3.46E-08	7.32E-08
P40045	YER071C	1.35E-07	1.02E-07	8.16E-08	6.33E-08	5.53E-08	3.29E-08	5.35E-09	8.87E-09	4.41E-09	8.01E-09
P40046	YER072W	9.13E-07	2.91E-06	2.81E-06	2.46E-06	1.23E-06	1.82E-07	1.21E-07	8.84E-08	3.04E-07	2.28E-07
P40047	YER073W	3.17E-06	3.50E-06	1.73E-06	1.45E-06	2.46E-06	2.11E-07	3.66E-08	1.89E-08	3.47E-08	6.70E-08
P40050	YER077C	NA	NA	1.80E-08	1.57E-08	7.94E-09	NA	NA	NA	2.92E-09	4.93E-09
P40051	YER078C	1.89E-07	2.11E-07	2.00E-07	1.38E-07	2.37E-07	1.06E-08	3.52E-09	2.80E-08	2.38E-08	1.12E-08
P40052	YER079W	2.78E-07	3.47E-07	1.92E-07	1.57E-07	6.49E-08	5.02E-08	1.10E-08	3.85E-08	2.23E-08	NA
P40053	YER080W	6.97E-07	6.23E-07	3.97E-07	3.15E-07	5.18E-07	4.51E-08	7.53E-08	1.56E-08	1.52E-08	3.69E-08
P40054	YER081W	1.87E-06	1.08E-06	7.37E-07	5.74E-07	1.65E-06	2.12E-07	2.32E-08	3.64E-08	7.49E-08	5.67E-08
P40056	YER083C	3.63E-07	7.60E-07	4.51E-07	4.30E-07	3.90E-07	1.20E-09	6.75E-08	7.48E-08	4.38E-08	4.52E-08
P40060	YER092W	4.60E-06	4.63E-06	3.61E-06	1.24E-06	2.55E-06	6.61E-07	3.98E-07	1.77E-07	8.70E-07	2.82E-07
P40064	YER105C	4.56E-08	6.29E-08	2.96E-08	2.35E-08	2.16E-08	6.19E-09	NA	1.25E-09	6.78E-09	NA
P40066	YER107C	3.45E-07	3.60E-07	2.55E-07	2.20E-07	1.75E-07	2.19E-08	6.19E-08	2.14E-08	1.41E-08	1.30E-08
P40069	YER110C	1.46E-06	1.83E-06	1.15E-06	9.37E-07	1.58E-06	1.61E-07	3.53E-08	1.75E-08	9.84E-08	1.82E-07
P40070	YER112W	2.38E-06	2.60E-06	1.51E-06	1.42E-06	1.24E-06	1.22E-08	1.12E-07	1.16E-07	1.45E-07	4.03E-08
P40075	YER120W	1.73E-06	2.49E-06	1.83E-06	1.50E-06	1.05E-06	2.10E-07	2.94E-08	8.65E-08	7.80E-08	1.49E-07
P40078	YER126C	3.01E-07	3.17E-07	2.01E-07	1.75E-07	3.43E-07	4.23E-08	1.39E-08	5.28E-09	1.66E-08	8.89E-09
P40079	YER127W	5.94E-08	5.08E-08	2.82E-08	2.95E-08	5.59E-08	NA	1.07E-09	2.41E-09	NA	NA
P40080	YER128W	9.84E-08	1.13E-07	6.62E-08	5.71E-08	4.59E-08	1.59E-08	8.20E-09	NA	4.90E-09	6.12E-09
P40081	YER134C	7.02E-07	7.48E-07	5.03E-07	3.82E-07	4.83E-07	1.73E-08	6.00E-08	3.58E-08	1.33E-07	7.31E-08
P40084	YER139C	2.36E-08	2.86E-08	2.44E-08	1.55E-08	1.21E-08	8.27E-09	2.31E-09	NA	3.13E-09	NA
P40086	YER141W	2.29E-07	2.14E-07	1.64E-07	1.26E-07	1.67E-07	6.57E-08	2.02E-08	4.27E-09	2.96E-08	5.19E-08
P40087	YER143W	2.80E-06	3.24E-06	1.98E-06	1.67E-06	1.01E-06	1.66E-07	1.42E-07	4.52E-08	6.10E-08	8.75E-08
P40088	YER145C	NA	NA	NA	NA	9.97E-07	NA	NA	NA	NA	NA
P40093	YER156C	1.24E-06	1.24E-06	7.72E-07	6.73E-07	1.06E-06	1.44E-07	9.02E-08	1.53E-08	6.48E-08	1.49E-08
P40094	YER157W	9.88E-08	5.15E-08	5.99E-08	2.22E-08	3.23E-08	NA	1.18E-08	1.39E-08	NA	NA
P40096	YER159C	9.02E-08	8.38E-08	5.10E-08	4.57E-08	5.00E-08	1.93E-09	8.77E-09	1.24E-09	2.47E-09	1.27E-09
P40098	YER182W	6.16E-07	5.19E-07	2.98E-07	2.30E-07	3.46E-07	3.65E-09	1.72E-08	4.67E-09	9.66E-09	3.76E-08
P40106	YER062C	1.28E-06	2.71E-06	3.42E-06	3.07E-06	9.52E-07	2.03E-07	1.51E-07	3.44E-07	2.13E-07	8.49E-08
P40150	YNL209W	5.39E-07	5.39E-07	3.26E-07	2.93E-07	6.96E-07	1.80E-08	1.62E-08	2.00E-08	2.27E-08	3.61E-08
P40154	YNL215W	3.95E-08	4.00E-08	2.65E-08	2.24E-08	2.16E-08	4.46E-09	3.80E-09	1.08E-09	6.93E-09	3.57E-09
P40157	YNL212W	1.98E-07	2.35E-07	1.40E-07	1.17E-07	1.58E-07	2.75E-08	1.30E-08	2.17E-08	8.97E-09	1.29E-08
P40159	YNL208W	1.22E-05	1.16E-05	6.68E-06	5.51E-06	3.17E-06	6.18E-07	5.67E-07	4.22E-07	4.48E-07	1.99E-07
P40160	YNL207W	6.61E-08	6.67E-08	3.80E-08	2.55E-08	4.62E-08	5.48E-09	2.36E-09	4.81E-09	1.01E-09	8.33E-09
P40161	YNL206C	1.57E-08	1.95E-08	1.68E-08	1.36E-08	1.54E-08	2.07E-09	4.13E-09	4.99E-10	2.30E-09	6.90E-10
P40164	YNL201C	NA	NA	7.43E-09	3.54E-09	NA	NA	NA	NA	NA	NA
P40165	YNL200C	1.05E-06	1.03E-06	5.62E-07	4.16E-07	1.65E-07	2.51E-07	6.17E-08	2.20E-08	3.80E-09	2.57E-08
P40168	YNL195C	1.65E-07	8.32E-08	2.46E-08	2.03E-08	NA	5.51E-08	6.91E-09	1.41E-08	6.08E-09	NA
P40169	YNL194C	5.83E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40185	YIL051C	1.17E-05	1.01E-05	7.50E-06	6.00E-06	8.62E-06	1.01E-06	2.15E-07	4.40E-08	1.66E-07	3.57E-07
P40188	YIL057C	5.40E-07	3.91E-08	NA	NA	3.26E-08	6.40E-08	1.64E-09	NA	NA	NA
P40202	YMR038C	1.35E-06	1.88E-06	1.20E-06	1.10E-06	9.46E-07	1.62E-07	4.95E-08	1.96E-09	1.35E-07	5.85E-09
P40204	YFL017W-A	1.15E-07	1.49E-07	6.85E-08	5.79E-08	5.25E-08	3.07E-08	8.41E-09	6.60E-10	3.56E-09	NA
P40207	YMR134W	3.71E-07	3.92E-07	3.98E-07	2.80E-07	2.84E-07	3.62E-08	3.12E-08	2.88E-08	2.42E-08	2.16E-08
P40208	YMR135C	9.87E-08	8.15E-08	6.50E-08	4.96E-08	4.37E-08	7.27E-09	2.39E-09	1.78E-08	8.09E-09	2.65E-09
P40210	YMR140W	1.14E-07	1.17E-07	8.91E-08	8.30E-08	5.09E-08	1.10E-08	5.05E-09	1.66E-09	5.53E-09	5.16E-09
P40212	YMR142C	4.87E-05	4.72E-05	2.81E-05	2.45E-05	5.46E-05	3.87E-06	2.20E-06	2.50E-07	1.41E-06	1.09E-06
P40215	YMR145C	3.96E-06	2.72E-06	2.73E-06	2.27E-06	3.90E-06	2.57E-07	6.15E-08	4.88E-08	1.04E-07	2.37E-07
P40217	YMR146C	2.00E-06	1.75E-06	1.11E-06	9.65E-07	1.72E-06	1.81E-07	1.06E-07	1.60E-08	5.94E-08	2.59E-08
P40219	YMR148W	1.27E-07	2.60E-07	7.99E-08	3.86E-08	NA	NA	NA	4.01E-08	NA	NA
P40302	YMR314W	7.60E-06	8.46E-06	5.42E-06	4.73E-06	3.63E-06	3.51E-07	3.48E-07	1.67E-07	2.74E-07	1.23E-07
P40303	YOL038W	2.95E-06	3.45E-06	2.15E-06	1.86E-06	1.47E-06	1.15E-07	6.49E-08	2.07E-08	8.43E-08	8.59E-08
P40312	YNL111C	8.40E-07	7.99E-07	6.35E-07	5.05E-07	4.06E-07	5.77E-08	2.14E-08	3.68E-08	1.98E-08	2.71E-08
P40317	YDR006C	1.13E-08	1.08E-08	6.22E-09	4.88E-09	1.33E-08	4.79E-10	3.09E-10	1.46E-10	8.65E-10	NA
P40318	YIL030C	1.84E-08	1.93E-08	2.01E-08	NA	2.10E-08	3.54E-09	2.68E-09	NA	NA	4.22E-09
P40319	YLR372W	1.23E-07	2.30E-07	1.56E-07	1.30E-07	NA	NA	NA	NA	3.37E-08	NA
P40327	YDL007W	2.37E-06	2.32E-06	1.55E-06	1.36E-06	1.23E-06	8.05E-08	9.58E-08	3.52E-08	7.75E-08	2.42E-08
P40328	YPL074W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40335	YJL053W	2.49E-07	3.51E-07	2.09E-07	1.85E-07	1.12E-07	1.19E-08	2.70E-08	1.28E-08	2.82E-08	1.23E-08
P40339	YOL094C	2.69E-07	1.42E-07	8.85E-08	7.65E-08	8.28E-08	2.59E-07	6.51E-09	1.39E-08	9.74E-09	5.09E-09
P40340	YGR270W	1.76E-08	1.81E-08	1.51E-08	1.34E-08	1.59E-08	4.89E-09	NA	NA	3.73E-09	4.84E-09
P40341	YMR089C	2.28E-07	2.78E-07	2.03E-07	1.49E-07	2.57E-07	1.75E-08	1.02E-08	1.03E-08	2.50E-08	6.25E-08
P40343	YNR006W	2.19E-08	2.43E-08	1.92E-08	1.58E-08	1.04E-08	3.65E-09	2.86E-09	1.41E-09	1.41E-09	2.01E-09
P40344	YNR007C	4.87E-08	4.13E-08	3.29E-08	2.48E-08	1.86E-08	1.75E-09	NA	NA	3.12E-09	3.50E-09
P40345	YNR008W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40347	YPR073C	4.79E-07	4.95E-07	3.56E-07	3.22E-07	5.17E-07	1.02E-08	3.56E-08	1.83E-08	2.81E-08	2.95E-08
P40348	YJR068W	3.04E-07	3.40E-07	1.59E-07	1.67E-07	1.51E-07	NA	5.51E-09	NA	1.39E-08	NA
P40354	YJR062C	2.85E-08	1.82E-08	NA	9.67E-09	NA	1.39E-08	NA	NA	1.05E-09	NA
P40357	YGR009C	2.62E-07	2.53E-07	1.62E-07	1.39E-07	1.81E-07	1.90E-08	5.94E-08	5.67E-08	4.33E-08	7.72E-09
P40360	YJL071W	6.94E-08	5.94E-08	3.10E-08	2.84E-08	4.82E-08	5.65E-09	4.53E-09	1.59E-09	2.25E-09	1.12E-08
P40362	YJL069C	1.92E-07	1.78E-07	8.47E-08	7.67E-08	2.30E-07	2.52E-08	3.12E-09	1.17E-08	3.54E-09	3.20E-08
P40363	YJL068C	9.34E-07	8.95E-07	5.76E-07	4.81E-07	3.67E-07	3.36E-08	1.20E-08	1.95E-08	1.84E-08	2.49E-08
P40364	YJL066C	1.14E-06	7.36E-07	4.53E-07	3.50E-07	5.17E-07	6.25E-08	4.03E-08	2.23E-08	1.83E-08	7.69E-08
P40368	YJL061W	1.09E-07	1.71E-07	9.30E-08	8.01E-08	9.60E-08	1.20E-08	3.48E-08	3.71E-09	4.98E-09	7.48E-09
P40395	YLR039C	7.80E-09	1.33E-08	7.17E-09	4.46E-09	4.69E-09	1.14E-09	1.49E-09	4.42E-09	1.15E-09	1.09E-09
P40413	YJR064W	2.65E-06	2.43E-06	1.51E-06	1.31E-06	2.02E-06	1.15E-07	4.56E-08	5.28E-09	6.38E-08	2.48E-08
P40414	YIL138C	1.07E-07	9.00E-08	4.69E-08	4.13E-08	3.76E-08	7.61E-09	6.12E-09	2.54E-09	3.71E-09	2.67E-09
P40422	YHR143W-A	8.05E-07	7.41E-07	4.07E-07	3.59E-07	6.42E-07	3.11E-08	6.58E-08	3.86E-08	2.58E-08	4.02E-08
P40433	YIL107C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40452	YIL157C	5.58E-07	3.88E-07	2.21E-07	1.74E-07	3.84E-07	9.57E-08	1.64E-08	1.04E-08	2.17E-08	5.64E-08
P40457	YIL149C	3.18E-08	NA	2.32E-08	2.24E-08	2.62E-08	NA	NA	NA	7.27E-09	1.10E-08
P40459	YIL145C	2.25E-07	1.93E-07	9.04E-08	8.09E-08	1.40E-07	1.02E-08	2.92E-08	4.74E-09	1.95E-09	7.96E-09
P40462	YIL137C	2.20E-07	2.27E-07	1.98E-07	1.65E-07	2.51E-07	2.24E-08	1.06E-08	8.47E-09	1.30E-08	1.54E-08
P40463	YIL135C	NA	NA	4.23E-08	2.55E-08	1.54E-08	NA	NA	5.88E-09	NA	5.43E-10
P40466	YIL131C	6.83E-08	1.15E-07	5.76E-08	5.58E-08	1.02E-07	1.15E-08	5.37E-09	1.15E-08	7.24E-09	1.34E-08
P40467	YIL130W	5.51E-08	9.78E-08	5.35E-08	3.12E-08	NA	4.50E-09	1.67E-08	1.68E-08	1.80E-08	NA
P40468	YIL129C	NA	6.01E-09	NA	NA	8.03E-11	NA	4.36E-09	NA	NA	2.49E-12
P40469	YIL128W	9.30E-08	8.87E-08	5.97E-08	4.71E-08	5.80E-08	1.55E-09	2.09E-08	4.12E-09	2.15E-08	9.47E-09
P40470	YIL127C	2.58E-08	1.84E-08	1.05E-08	1.08E-08	2.67E-08	2.27E-09	NA	2.45E-10	2.18E-09	3.03E-09
P40471	YIL124W	1.99E-06	3.94E-06	1.58E-06	1.25E-06	4.49E-07	1.45E-07	5.04E-07	7.39E-08	1.88E-07	8.74E-08
P40477	YIL115C	1.59E-07	2.11E-07	1.17E-07	9.42E-08	1.02E-07	1.05E-08	3.09E-08	4.64E-09	9.42E-09	3.34E-09
P40480	YIL112W	NA	NA	NA	1.84E-08	NA	NA	NA	NA	1.44E-09	NA
P40481	YIL110W	6.42E-08	5.59E-08	3.60E-08	3.50E-08	4.76E-08	1.14E-08	9.17E-10	1.20E-09	1.98E-09	NA
P40482	YIL109C	3.79E-06	3.99E-06	2.48E-06	2.07E-06	3.17E-06	2.71E-07	2.62E-08	3.48E-08	1.56E-07	2.24E-08
P40483	YIL108W	3.61E-07	3.12E-07	1.88E-07	1.53E-07	1.72E-07	1.03E-08	2.91E-08	9.92E-09	1.27E-08	1.65E-08
P40484	YIL106W	2.02E-07	3.29E-07	1.98E-07	1.30E-07	1.82E-07	NA	5.78E-08	2.63E-08	1.65E-09	3.58E-08
P40485	YIL105C	5.44E-07	6.17E-07	4.26E-07	3.30E-07	2.62E-07	1.25E-08	5.85E-08	1.96E-08	2.54E-08	4.61E-08
P40491	YIL098C	2.25E-07	2.08E-07	1.50E-07	1.13E-07	3.12E-07	1.69E-08	2.83E-08	2.13E-08	1.13E-08	2.72E-08
P40492	YIL097W	1.76E-07	1.54E-07	9.37E-08	8.45E-08	6.24E-08	1.53E-08	2.96E-10	1.15E-08	9.88E-09	NA
P40495	YIL094C	1.01E-05	7.70E-06	4.27E-06	3.63E-06	8.44E-06	1.11E-06	1.29E-07	1.25E-07	2.25E-07	1.94E-07
P40496	YIL093C	4.66E-07	3.17E-07	1.89E-07	1.35E-07	7.81E-07	5.29E-08	8.91E-08	6.34E-09	1.68E-08	1.99E-08
P40498	YIL091C	3.16E-07	2.37E-07	1.36E-07	1.20E-07	2.53E-07	1.94E-08	3.11E-08	1.59E-08	9.92E-09	6.29E-09
P40505	YIL084C	1.08E-07	1.30E-07	NA	7.61E-08	NA	NA	3.07E-08	NA	NA	NA
P40506	YIL083C	5.18E-07	4.45E-07	1.91E-07	1.49E-07	2.78E-07	2.98E-08	4.53E-09	7.29E-09	8.34E-09	2.40E-08
P40509	YIL076W	4.56E-07	4.32E-07	2.49E-07	2.13E-07	2.90E-07	5.18E-08	1.15E-08	1.12E-08	3.42E-09	1.69E-08
P40510	YIL074C	5.04E-06	4.34E-06	2.91E-06	2.33E-06	4.98E-06	2.69E-07	2.08E-07	3.37E-08	1.97E-08	2.14E-07
P40513	YIL070C	4.16E-07	3.19E-07	2.11E-07	1.46E-07	5.10E-07	1.29E-08	9.07E-09	3.68E-09	1.78E-08	2.90E-08
P40515	YIL065C	3.30E-06	2.84E-06	1.93E-06	1.51E-06	2.25E-06	1.12E-07	9.83E-08	6.77E-08	6.92E-08	2.84E-07
P40516	YIL064W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40517	YIL063C	3.20E-07	3.66E-07	2.32E-07	2.07E-07	1.17E-07	3.62E-09	9.45E-09	7.31E-09	7.96E-09	1.35E-08
P40518	YIL062C	2.02E-06	2.22E-06	1.42E-06	1.21E-06	9.44E-07	9.55E-08	2.17E-07	1.07E-07	4.48E-08	4.08E-08
P40523	YIL055C	1.08E-07	9.82E-08	5.15E-08	3.37E-08	2.53E-08	NA	NA	NA	1.28E-09	NA
P40525	YIL052C	9.47E-06	8.54E-06	4.94E-06	4.23E-06	1.00E-05	3.69E-07	2.31E-07	2.44E-07	3.65E-07	4.71E-07
P40527	YIL048W	6.85E-08	8.62E-08	6.63E-08	6.01E-08	3.59E-08	NA	1.88E-09	1.73E-09	7.63E-09	6.46E-10
P40529	YIL044C	3.04E-07	2.80E-07	1.33E-07	1.12E-07	1.87E-07	6.91E-08	1.92E-08	1.20E-08	1.35E-08	1.63E-08
P40530	YIL042C	1.44E-07	1.31E-07	7.84E-08	6.17E-08	6.57E-08	2.14E-08	7.37E-10	2.05E-08	1.25E-08	6.16E-09
P40531	YIL041W	7.28E-06	7.78E-06	4.55E-06	4.13E-06	3.39E-06	7.97E-07	4.06E-07	7.04E-08	2.26E-07	2.64E-07
P40533	YIL039W	2.64E-07	4.45E-07	3.16E-07	2.16E-07	NA	8.19E-08	1.26E-07	6.92E-08	9.96E-09	NA
P40540	YIL027C	3.22E-07	5.22E-07	4.05E-07	3.53E-07	2.22E-07	1.70E-07	5.70E-08	3.02E-08	3.92E-08	4.34E-08
P40541	YIL026C	2.42E-08	2.75E-08	1.90E-08	1.27E-08	1.47E-08	1.06E-09	4.11E-09	4.09E-09	NA	2.68E-10
P40545	YIL020C	4.48E-07	4.76E-07	3.16E-07	2.67E-07	2.69E-07	4.66E-09	1.13E-08	4.24E-09	1.71E-08	1.82E-08
P40547	YIL017C	NA	1.40E-08	NA	NA	NA	NA	NA	NA	NA	NA
P40548	YIL016W	9.57E-08	1.19E-07	7.25E-08	5.54E-08	9.88E-08	2.66E-08	1.17E-08	9.78E-09	3.08E-09	9.18E-09
P40553	YIL010W	4.45E-07	6.97E-07	3.91E-07	3.49E-07	2.94E-07	4.52E-08	7.78E-08	1.44E-08	2.25E-08	8.78E-08
P40555	YIL007C	7.75E-07	8.41E-07	4.55E-07	3.69E-07	2.18E-07	2.94E-08	6.25E-08	2.45E-08	5.05E-08	2.68E-08
P40557	YIL005W	1.21E-07	1.84E-07	1.24E-07	9.63E-08	4.61E-08	4.65E-09	1.36E-09	2.61E-09	6.84E-09	1.19E-09
P40559	YIL002C	4.77E-09	7.19E-09	2.94E-09	2.91E-09	NA	NA	2.03E-09	8.72E-10	2.91E-10	NA
P40561	YIR001C	8.20E-07	7.34E-07	4.25E-07	3.84E-07	5.20E-07	3.20E-08	3.64E-08	2.67E-08	4.44E-08	5.12E-08
P40563	YIR003W	1.36E-07	1.26E-07	8.19E-08	7.43E-08	6.59E-08	7.91E-09	1.22E-08	7.98E-09	4.00E-09	8.73E-09
P40564	YIR004W	4.83E-07	4.41E-07	3.13E-07	2.80E-07	4.12E-07	7.77E-08	5.99E-09	3.55E-09	1.88E-08	2.52E-08
P40566	YIR007W	NA	2.71E-08	NA	NA	NA	NA	1.76E-09	NA	NA	NA
P40567	YIR009W	NA	4.33E-08	NA	1.36E-08	1.76E-08	NA	NA	NA	NA	2.83E-09
P40576	YIR024C	4.39E-08	4.64E-08	2.24E-08	2.04E-08	3.12E-08	4.38E-09	3.21E-09	NA	2.71E-09	5.63E-09
P40579	YIR035C	4.33E-07	4.93E-07	5.22E-07	4.43E-07	1.42E-07	7.31E-08	5.70E-09	1.98E-08	4.63E-08	3.48E-09
P40580	YIR036C	1.46E-06	1.65E-06	1.01E-06	8.72E-07	6.09E-07	9.15E-08	1.68E-07	6.29E-08	5.41E-08	2.23E-08
P40581	YIR037W	8.63E-06	1.16E-05	6.95E-06	5.69E-06	2.94E-06	2.22E-07	4.58E-07	2.26E-07	1.72E-07	2.51E-07
P40582	YIR038C	6.22E-07	8.16E-07	4.05E-07	3.33E-07	1.41E-07	5.90E-08	1.14E-08	2.00E-08	3.10E-08	1.03E-08
P40693	YNL002C	9.84E-07	9.26E-07	5.71E-07	4.76E-07	1.11E-06	7.98E-08	2.75E-08	1.28E-08	3.69E-08	3.32E-08
P40850	YNL085W	4.31E-07	5.51E-07	3.67E-07	2.67E-07	3.42E-07	5.00E-08	2.17E-08	2.22E-08	2.72E-08	7.25E-08
P40858	YJL096W	6.35E-07	4.68E-07	2.82E-07	2.28E-07	1.02E-06	2.63E-08	1.42E-08	1.67E-08	4.53E-08	2.93E-08
P40893	YJL217W	2.41E-06	9.66E-07	2.67E-07	1.88E-07	1.22E-06	4.72E-07	5.21E-08	1.74E-08	1.71E-08	8.34E-08
P40896	YJL213W	3.58E-07	1.53E-07	4.39E-07	3.62E-07	4.76E-07	7.83E-08	5.62E-08	2.69E-08	3.09E-08	1.70E-08
P40955	YJL099W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40956	YGL181W	7.80E-07	9.32E-07	5.81E-07	4.96E-07	5.44E-07	1.38E-08	6.64E-08	3.71E-08	5.72E-08	4.61E-08
P40957	YGL086W	4.21E-08	5.39E-08	3.74E-08	3.06E-08	2.63E-08	9.77E-10	NA	2.99E-09	NA	1.95E-09
P40958	YJL030W	8.72E-08	1.08E-07	6.34E-08	5.37E-08	4.39E-08	1.33E-09	2.15E-08	1.75E-09	1.13E-08	5.63E-09
P40959	YMR004W	8.71E-08	1.23E-07	9.78E-08	9.40E-08	5.62E-08	2.90E-08	2.04E-08	4.91E-09	1.60E-08	8.36E-09
P40961	YGR132C	3.14E-06	2.68E-06	1.55E-06	1.21E-06	2.63E-06	2.98E-07	4.10E-08	6.55E-08	7.46E-08	1.23E-07
P40970	YDR062W	1.14E-07	1.36E-07	1.00E-07	6.90E-08	9.63E-08	3.77E-08	1.72E-08	1.38E-08	5.96E-09	1.51E-08
P40989	YGR032W	1.59E-07	4.82E-07	4.35E-07	3.31E-07	NA	3.32E-08	6.70E-08	2.93E-08	6.36E-09	NA
P40990	YDL107W	3.35E-08	NA	1.52E-08	1.31E-08	3.69E-08	NA	NA	NA	NA	NA
P40991	YNL061W	1.72E-06	1.35E-06	7.98E-07	7.02E-07	1.45E-06	1.61E-07	6.05E-08	2.83E-08	3.73E-08	4.16E-08
P40994	YOR094W	3.78E-07	5.06E-07	3.82E-07	3.67E-07	NA	NA	3.61E-08	NA	9.18E-08	NA
P41056	YOR234C	4.18E-05	3.78E-05	2.16E-05	1.86E-05	3.40E-05	1.08E-06	1.77E-06	8.73E-07	8.65E-07	7.37E-07
P41057	YLR388W	2.64E-05	2.27E-05	1.33E-05	1.16E-05	3.33E-05	1.75E-06	2.42E-06	1.98E-06	9.61E-07	2.19E-06
P41058	YDL061C	2.16E-05	2.25E-05	1.33E-05	1.29E-05	2.34E-05	1.75E-06	6.24E-07	1.43E-06	1.08E-06	1.65E-06
P41277	YIL053W	7.56E-06	2.05E-05	1.73E-05	1.61E-05	2.56E-06	1.21E-06	2.18E-07	2.76E-07	7.70E-07	4.05E-07
P41338	YPL028W	1.12E-05	1.15E-05	8.79E-06	7.39E-06	5.59E-06	7.37E-08	3.15E-07	1.55E-07	2.16E-07	2.43E-07
P41543	YJL002C	6.62E-07	1.14E-06	7.57E-07	6.16E-07	6.03E-07	3.96E-08	6.31E-08	5.08E-08	5.45E-08	5.54E-08
P41697	YLR319C	7.89E-08	9.19E-08	5.95E-08	5.90E-08	5.14E-08	2.01E-08	1.19E-08	6.79E-09	1.04E-08	1.30E-08
P41734	YOR126C	3.99E-07	3.62E-07	2.13E-07	1.76E-07	1.62E-07	2.58E-08	2.03E-08	1.41E-08	1.18E-08	5.06E-09
P41735	YOR125C	1.39E-07	NA	2.87E-07	5.11E-07	8.88E-08	NA	NA	3.52E-07	5.36E-07	NA
P41805	YLR075W	4.56E-05	4.40E-05	2.52E-05	2.21E-05	4.89E-05	1.99E-06	2.00E-06	4.29E-07	1.13E-06	9.75E-07
P41807	YPR036W	1.12E-06	1.76E-06	1.33E-06	1.12E-06	7.88E-07	1.14E-07	2.88E-08	3.84E-08	1.15E-07	5.73E-08
P41810	YDR238C	9.20E-07	1.17E-06	6.90E-07	5.55E-07	5.90E-07	6.60E-08	5.61E-08	2.94E-08	4.95E-08	8.45E-08
P41811	YGL137W	2.24E-06	2.21E-06	1.47E-06	1.22E-06	2.19E-06	9.52E-08	8.85E-08	5.59E-08	1.38E-08	3.00E-08
P41812	YNL221C	NA	NA	NA	NA	1.78E-08	NA	NA	NA	NA	NA
P41814	YNL062C	1.81E-07	2.11E-07	1.24E-07	1.16E-07	1.55E-07	1.30E-08	2.69E-08	2.18E-08	2.08E-08	1.28E-08
P41816	YPL171C	7.94E-08	1.17E-07	9.27E-08	7.48E-08	4.16E-08	1.25E-08	1.75E-08	1.05E-08	6.41E-09	1.27E-08
P41818	YMR311C	4.39E-07	4.39E-07	2.71E-07	2.19E-07	2.03E-07	1.82E-08	3.34E-08	4.01E-08	1.50E-08	1.55E-09
P41819	YPL266W	2.08E-07	2.26E-07	1.30E-07	1.05E-07	2.57E-07	4.22E-08	9.20E-09	5.50E-09	1.64E-08	1.11E-08
P41832	YNL271C	4.96E-09	8.99E-09	NA	6.08E-09	NA	6.50E-10	1.44E-09	NA	8.61E-11	NA
P41834	YOR075W	4.78E-08	5.01E-08	3.40E-08	2.48E-08	2.18E-08	3.24E-09	4.04E-09	3.75E-09	3.93E-09	3.64E-10
